Name,Label,URL,Latitude,Longitude
Auchindoir,"St Mary's Kirk, Auchindoir",https://www.wikidata.org/wiki/Q1947765,57.307625,-2.868914
Auchinleck,Auchinleck,https://www.wikidata.org/wiki/Q1013757,55.46666667,-4.3
Auchinleek,Auchinleck,https://www.wikidata.org/wiki/Q1013757,55.46666667,-4.3
Auchlunies,Auchlunies,https://www.wikidata.org/wiki/Q17775207,57.0889,-2.18254
Auchmacoy,Auchmacoy railway station,https://www.wikidata.org/wiki/Q4819451,57.3775,-2.0084
Auchnacraig,"Mull, Auchnacraig Bridge",https://www.wikidata.org/wiki/Q17777077,56.4328,-5.68734
Auchterarder,Auchterarder,https://www.wikidata.org/wiki/Q758623,56.2932,-3.70614
Auchtergavin,Perth and Kinross,https://www.wikidata.org/wiki/Q207679,56.41666667,-3.48333333
Auchterhouse,Auchterhouse,https://www.wikidata.org/wiki/Q4819471,56.525,-3.087
Auchterless,Auchterless,https://www.wikidata.org/wiki/Q2870664,57.4608,-2.48417
Auchtermuchty,Auchtermuchty,https://www.wikidata.org/wiki/Q758624,56.2898,-3.23745
Ayr,Ayr,https://www.wikidata.org/wiki/Q654216,55.46388889,-4.627777778
"Ayr, Largo, &c. ?",Ayr,https://www.wikidata.org/wiki/Q654216,55.46388889,-4.627777778
Ayre,Ayr,https://www.wikidata.org/wiki/Q654216,55.46388889,-4.627777778
Ayrshire,Ayr,https://www.wikidata.org/wiki/Q654216,55.46388889,-4.627777778
Ayton,Ayton,https://www.wikidata.org/wiki/Q793327,55.8425,-2.12301
Azores,Azores,https://www.wikidata.org/wiki/Q31894771,38.5,-28
Badenoch,Badenoch,https://www.wikidata.org/wiki/Q45850,57.19,-3.83
Badenscoth,Badenscoth,https://www.wikidata.org/wiki/Q4840782,57.43,-2.51
Bahamas,The Bahamas,https://www.wikidata.org/wiki/Q778,23.916667,-77.666667
Bainsford,Bainsford,https://www.wikidata.org/wiki/Q4848570,56.01194444,-3.786669444
Baledgarno,"Baledgarno, Burnside",https://www.wikidata.org/wiki/Q17843047,56.4571,-3.17494
Balerno,"Balerno, 34 Main Street",https://www.wikidata.org/wiki/Q17808583,55.8837,-3.3388
Balfron,Balfron,https://www.wikidata.org/wiki/Q1010220,56.0718,-4.33726
Balgon,Balgone House,https://www.wikidata.org/wiki/Q17569497,56.0322,-2.69715
Balgone,Balgone House,https://www.wikidata.org/wiki/Q17569497,56.0322,-2.69715
Balgonie,Balgonie Castle,https://www.wikidata.org/wiki/Q4850794,56.19393889,-3.108661111
Balir Athole,Blair Atholl,https://www.wikidata.org/wiki/Q881156,56.77,-3.84
Baliradam,"Blairadam, North Blair",https://www.wikidata.org/wiki/Q17834552,56.149,-3.40159
Balirahole,Blair Atholl,https://www.wikidata.org/wiki/Q881156,56.77,-3.84
Balirathole,Blair Atholl,https://www.wikidata.org/wiki/Q881156,56.77,-3.84
Ballandalloch,Ballindalloch,https://www.wikidata.org/wiki/Q805264,57.4122,-3.36833
Ballantrae,Ballantrae,https://www.wikidata.org/wiki/Q3997904,55.1003,-5.00472
Ballater,Ballater,https://www.wikidata.org/wiki/Q805175,57.0448,-3.04942
Balleraro,,,NA,NA
Ballindalloch,Ballindalloch,https://www.wikidata.org/wiki/Q805264,57.4122,-3.36833
Ballindalloch,Blair Atholl,https://www.wikidata.org/wiki/Q881156,56.77,-3.84
Ballochvoy,"Balloch, West Dunbartonshire",https://www.wikidata.org/wiki/Q805302,56.002,-4.58
Baltasound,Baltasound,https://www.wikidata.org/wiki/Q805562,60.76,-0.86
Baltimore,Baltimore,https://www.wikidata.org/wiki/Q805740,51.48333333,-9.366666667
Banchory,Banchory-Devenick,https://www.wikidata.org/wiki/Q4854063,57.1128,-2.15639
Banchory-Ternan,Banchory-ternan,https://www.wikidata.org/wiki/Q17774101,57.0516,-2.48486
Banff,Banff,https://www.wikidata.org/wiki/Q54809,57.667,-2.524
Bankerief,"Ballencrieff, East Lothian",https://www.wikidata.org/wiki/Q3778459,55.994,-2.82872
Bankfoot,Bankfoot,https://www.wikidata.org/wiki/Q1013600,56.5014,-3.51727
Bannockburn,Bannockburn,https://www.wikidata.org/wiki/Q806906,56.09,-3.91
Barbadoes,Barbados,https://www.wikidata.org/wiki/Q244,13.16666667,-59.55
Barhead,Barrhead,https://www.wikidata.org/wiki/Q2598252,55.78333333,-4.383333333
Barr,"Barr, Ayrshire",https://www.wikidata.org/wiki/Q4863092,55.2018,-4.7116
Barrhead,Barrhead,https://www.wikidata.org/wiki/Q2598252,55.78333333,-4.383333333
Barrhill,"Barrhill, South Ayrshire",https://www.wikidata.org/wiki/Q4863470,55.1032,-4.77013
Barthwick,Borthwick,https://www.wikidata.org/wiki/Q4946744,55.8251,-3.0112
Batavia,,,NA,NA
Bathgage,Bathgate,https://www.wikidata.org/wiki/Q810794,55.9024,-3.6431
Bathgate,Bathgate,https://www.wikidata.org/wiki/Q810794,55.9024,-3.6431
Bauchory,Banchory,https://www.wikidata.org/wiki/Q806177,57.055,-2.49
Beatock,Beattock,https://www.wikidata.org/wiki/Q4877300,55.308,-3.458
Beauly,Beauly,https://www.wikidata.org/wiki/Q523335,57.4847,-4.46204
Bedford,Bedford,https://www.wikidata.org/wiki/Q208257,52.13444444,-0.4630555556
Beild,,,NA,NA
Beith,Beith,https://www.wikidata.org/wiki/Q1013620,55.7533,-4.6319
Beithbervie,Beith,https://www.wikidata.org/wiki/Q1013620,55.7533,-4.6319
Belfast,Belfast,https://www.wikidata.org/wiki/Q10686,54.59666667,-5.938333333
Belford,Belford,https://www.wikidata.org/wiki/Q1617115,55.598,-1.828
Belgium,Belgium,https://www.wikidata.org/wiki/Q31,51,5
Belhaven,Belhaven Brewery,https://www.wikidata.org/wiki/Q4882713,55.9931,-2.50731
Bells-hill,Bellshill,https://www.wikidata.org/wiki/Q680984,55.82055556,-4.028333333
Bellshill,Bellshill,https://www.wikidata.org/wiki/Q680984,55.82055556,-4.028333333
Berbice,Berbice,https://www.wikidata.org/wiki/Q675322,6.23369,-57.543
Bermuda,Bermuda,https://www.wikidata.org/wiki/Q23635,32.333333,-64.75
Bervie,Bridge Of Bervie,https://www.wikidata.org/wiki/Q17770973,56.9136,-2.39339
Berw. on Tweed,Berwick-upon-Tweed,https://www.wikidata.org/wiki/Q504678,55.76666667,-2
Berwick,"Berwickshire, Roxburgh and Selkirk",https://www.wikidata.org/wiki/Q3134016,55.776,-2.411
Berwick North,North Berwick,https://www.wikidata.org/wiki/Q1012054,56.058,-2.717
Berwick-on-Tweed,Berwick-upon-Tweed,https://www.wikidata.org/wiki/Q504678,55.76666667,-2
Biggar,Biggar,https://www.wikidata.org/wiki/Q3250089,55.55,-3.5
Birmingham,Birmingham,https://www.wikidata.org/wiki/Q2256,52.48333333,-1.9
Birse,Birse,https://www.wikidata.org/wiki/Q4916970,57.06,-2.74
