Source,Target,SourceLabel,TargetLabel,Name,Name_From_Loc,From_Loc_Address,Type,Subtype,Travel_Frequecy,Directory,Date,Travel_Cost,Capacity_Persons,Notes,X
https://www.wikidata.org/wiki/Q36405,https://www.wikidata.org/wiki/Q1026799,Aberdeen,Ellon,Earl of Errol Coach,Gray's,18 Frederick St,Coach,,300,directoryforcity182425uns,1824,"Fare to Ellon, 5s. ; outside, 4s. Peterhead, 10s. ; outside 8s.",12,,
https://www.wikidata.org/wiki/Q36405,https://www.wikidata.org/wiki/Q1026799,Aberdeen,Ellon,Buchan Mail,,,Mail,,300,directoryforcity182425uns,1824,,,,
https://www.wikidata.org/wiki/Q1016931,https://www.wikidata.org/wiki/Q1011728,Huntly,Fochabers,Fochabers Mail,Royal Mail Office,63 Union St,Coach,Mail,300,directoryforcity182425uns,1824,,,,
https://www.wikidata.org/wiki/Q1016931,https://www.wikidata.org/wiki/Q1011728,Huntly,Fochabers,Duke of Gordon Light Post Coach,Anderson's New Inn,5 Castle St,Coach,,300,directoryforcity182425uns,1824,,,,
https://www.wikidata.org/wiki/Q36405,https://www.wikidata.org/wiki/Q1011728,Aberdeen,Fochabers,North Mail,,,Mail,,300,directoryforcity182425uns,1824,,,,
https://www.wikidata.org/wiki/Q36405,https://www.wikidata.org/wiki/Q142,Aberdeen,France,,,,Mail,,200,directoryforcity182425uns,1824,2s. 3d.,,,
https://www.wikidata.org/wiki/Q36405,https://www.wikidata.org/wiki/Q142,Aberdeen,France,,,,Mail,,200,directoryforcity182425uns,1824,3s.,,,
https://www.wikidata.org/wiki/Q36405,https://www.wikidata.org/wiki/Q142,Aberdeen,France,,,,Mail,,200,directoryforcity182425uns,1824,3s.,,,
https://www.wikidata.org/wiki/Q36405,https://www.wikidata.org/wiki/Q142,Aberdeen,France,,,,Mail,,200,directoryforcity182425uns,1824,3s.,,,
https://www.wikidata.org/wiki/Q1055,https://www.wikidata.org/wiki/Q183,Hamburg,Germany,,,,Mail,,,directoryforcity182425uns,1824,2s. 9d.,,,
https://www.wikidata.org/wiki/Q36405,https://www.wikidata.org/wiki/Q1410,Aberdeen,Gibraltar,,,,Mail,,,directoryforcity182425uns,1824,3s. 3d.,,,
https://www.wikidata.org/wiki/Q217831,https://www.wikidata.org/wiki/Q2240072,Greenock,Johnstone,James Allan,Robert Holm's,3 Taylor's Cross,Carrier,,50,http://www.archive.org/details/hutchisonsgreeno1820unse ,1820,,,,
https://www.wikidata.org/wiki/Q217831,https://www.wikidata.org/wiki/Q3467446,Greenock,Dalry,Andrew Lusk,James Paul's,Market Street,Carrier,,50,http://www.archive.org/details/hutchisonsgreeno1820unse ,1820,,,,
https://www.wikidata.org/wiki/Q217831,https://www.wikidata.org/wiki/Q1018756,Greenock,Saltcoats,James Wilson,"William Hyslop's, stabler",Market Street,Carrier,,100,http://www.archive.org/details/hutchisonsgreeno1820unse ,1820,,,,
https://www.wikidata.org/wiki/Q217831,https://www.wikidata.org/wiki/Q1774629,Greenock,Irvine,William Arthur,"William Hyslop's, stabler",Market Street,Carrier,,100,http://www.archive.org/details/hutchisonsgreeno1820unse ,1820,,,,
https://www.wikidata.org/wiki/Q217831,https://www.wikidata.org/wiki/Q576562,Greenock,Kilmarnock,Robert Gibson,"William Hyslop's, stabler",Market Street,Carrier,,100,http://www.archive.org/details/hutchisonsgreeno1820unse ,1820,,,,
https://www.wikidata.org/wiki/Q217831,https://www.wikidata.org/wiki/Q1016169,Greenock,Largs,Glasgow,,,Ship,"Steam, Passage",24,http://www.archive.org/details/hutchisonsgreeno1820unse ,1820,,,,
https://www.wikidata.org/wiki/Q217831,https://www.wikidata.org/wiki/Q1016169,Greenock,Largs,Argyle,,,Ship,"Steam, Passage",24,http://www.archive.org/details/hutchisonsgreeno1820unse ,1820,,,,
https://www.wikidata.org/wiki/Q217831,https://www.wikidata.org/wiki/Q1017159,Greenock,Lochgilphead,Dumbarton Castle,,,Ship,"Steam, Passage",24,http://www.archive.org/details/hutchisonsgreeno1820unse ,1820,,,,
https://www.wikidata.org/wiki/Q217831,https://www.wikidata.org/wiki/Q1671720,Greenock,Inverary,Argyle,,,Ship,"Steam, Passage",24,http://www.archive.org/details/hutchisonsgreeno1820unse ,1820,,,,
https://www.wikidata.org/wiki/Q217831,https://www.wikidata.org/wiki/Q1671720,Greenock,Inverary,Dumbarton Castle,,,Ship,"Steam, Passage",24,http://www.archive.org/details/hutchisonsgreeno1820unse ,1820,,,,
https://www.wikidata.org/wiki/Q217831,https://www.wikidata.org/wiki/Q1818828,Greenock,Rothsay,Argyle,,,Ship,"Steam, Passage",24,http://www.archive.org/details/hutchisonsgreeno1820unse ,1820,,,,
https://www.wikidata.org/wiki/Q217831,https://www.wikidata.org/wiki/Q1818828,Greenock,Rothsay,Dumbarton Castle,,,Ship,"Steam, Passage",24,http://www.archive.org/details/hutchisonsgreeno1820unse ,1820,,,,
https://www.wikidata.org/wiki/Q217831,https://www.wikidata.org/wiki/Q2469984,Greenock,Gourock,Glasgow,,,Ship,"Steam, Passage",24,http://www.archive.org/details/hutchisonsgreeno1820unse ,1820,,,,
https://www.wikidata.org/wiki/Q217831,https://www.wikidata.org/wiki/Q596798,Greenock,Tarbet,Argyle,,,Ship,"Steam, Passage",24,http://www.archive.org/details/hutchisonsgreeno1820unse ,1820,,,,
https://www.wikidata.org/wiki/Q217831,https://www.wikidata.org/wiki/Q596798,Greenock,Tarbet,Dumbarton Castle,,,Ship,"Steam, Passage",24,http://www.archive.org/details/hutchisonsgreeno1820unse ,1820,,,,
https://www.wikidata.org/wiki/Q217831,https://www.wikidata.org/wiki/Q640073,Greenock,Ardrossan,Glasgow,,,Ship,"Steam, Passage",24,http://www.archive.org/details/hutchisonsgreeno1820unse ,1820,,,,
https://www.wikidata.org/wiki/Q217831,https://www.wikidata.org/wiki/Q654216,Greenock,Ayr,Glasgow,,,Ship,"Steam, Passage",24,http://www.archive.org/details/hutchisonsgreeno1820unse ,1820,,,,
https://www.wikidata.org/wiki/Q217831,https://www.wikidata.org/wiki/Q1021167,Greenock,Troon,Glasgow,,,Ship,"Steam, Passage",24,http://www.archive.org/details/hutchisonsgreeno1820unse ,1820,,,,
https://www.wikidata.org/wiki/Q36405,https://www.wikidata.org/wiki/Q4093,Aberdeen,Glasgow,"Aberdeen, Leith, and Clyde Shipping Co",,,Ship,Sail,50,directoryforcity182425uns,1824,"Cabin Passage, 21s. â€” Steerage, 10s. 6d.",3 vessels,,
https://www.wikidata.org/wiki/Q36405,https://www.wikidata.org/wiki/Q1055,Aberdeen,Hamburg,,,,Mail,,,directoryforcity182425uns,1824,2s. 9d.,,,
https://www.wikidata.org/wiki/Q36405,https://www.wikidata.org/wiki/Q1055,Aberdeen,Hamburg,,,,Mail,,,directoryforcity182425uns,1824,2s. 9d.,,,
https://www.wikidata.org/wiki/Q36405,https://www.wikidata.org/wiki/Q1055,Aberdeen,Hamburg,,,,Mail,,,directoryforcity182425uns,1824,2s. 9d.,,,
https://www.wikidata.org/wiki/Q36405,https://www.wikidata.org/wiki/Q1055,Aberdeen,Hamburg,,,,Mail,,,directoryforcity182425uns,1824,2s. 9d.,,,
